,Modèle,Taille,Fait par,Gamme,Matière,Couleur,Matière 2,Couleur 2,Prix,Vendu,Année,Collection,Numéro produit
0,Ubelle,M,CA,CC,Croco,Noir,Velours,Noir,500,0,2017,Ubelle,1.0
1,Ubelle,M,CA,CC,Croco,Gris,Velours,Gris,500,1,2017,Ubelle,2.0
2,Ubelle,M,CA,CC,Croco,Beige,Velours,Brun Lion,500,1,2017,Ubelle,3.0
3,Ubelle,S,CA,CC,Croco,Taupe,Velours,Taupe,450,1,2017,Ubelle,4.0
4,Ubelle,S,CA,CC,Croco,Bleu ,Velours,Bleu Cosmo,450,1,2017,Ubelle,5.0
5,Ubelle,S,CA,CC,Croco,Noir,Velours,Noir,450,1,2017,Ubelle,6.0
6,Ubelle,XS,CA,CC,Croco,Taupe,Velours,Taupe,440,1,2017,Ubelle,7.0
7,Ubelle,XS,CA,CC,Croco,Noir,Velours,Noir,440,1,2017,Ubelle,8.0
8,Ubelle,,CA,CC,Lisse,Bleu Cosmo,Croco,Bleu,440,1,2017,Ubelle,9.0
9,Yaelle,,CM,CC,Croco,Bleu Cosmo,,,480,1,2017,Entre Filles,10.0
10,Chloé,,CM,CC,Velours,Gris,Grainé,,300,1,2017,Entre Filles,11.0
11,Hanaé,,CM,CC,Velours,Taupe,Croco,,420,1,2017,Entre Filles,12.0
12,Laura,,CM,CC,Velours,Noir,Croco,,390,1,2017,Entre Filles,13.0
13,Natacha,,JE,CC,Lisse,Rose Blushpink,Croco,Rose Nuage,400,1,2017,Entre Filles,110.0
14,Natacha,,JE,CC,Lisse,Noir,Croco,Noir,400,1,2017,Entre Filles,111.0
15,Natacha,,JE,CC,Lisse,Noir,Croco,Gris,400,1,2017,Entre Filles,112.0
16,Natacha,,JE,CC,Lisse,Brun Lion,Croco,Beige,400,0,2017,Entre Filles,113.0
17,Natacha,,JE,CC,Lisse,Gris Shark,Croco,Gris,400,2,2017,Entre Filles,114.0
18,Natacha,,JE,CC,Lisse,Frost,Croco,Blanc Cassé,400,1,2017,Entre Filles,115.0
19,Natacha,,JE,CC,Lisse,Bleu Cosmo,Croco,Bleu Cosmo,400,1,2017,Entre Filles,
20,Leslie,,JE,CC,Lisse,Octane,Croco,Gris,350,1,2017,Entre Filles,
21,Leslie,,JE,CC,Lisse,Gris Shark,Croco,Gris Hellgrau,350,1,2017,Entre Filles,
22,Leslie,,JE,CC,Lisse,Bleu Cosmo,Croco,Bleu Cosmo,350,1,2017,Entre Filles,
23,Leslie,,JE,CC,Lisse,Noir,Croco,Noir,350,0,2017,Entre Filles,
24,Leslie,,JE,CC,Lisse,Beige Clair ,Croco,Hellbeige,360,1,2017,Entre Filles,
25,Leslie,,JE,CC,Lisse,Brun Canyon,Croco,Beige,360,0,2017,Entre Filles,
26,Yaelle,,JE,CC,Grainé,Gris ,Croco,Gris,475,1,2017,Entre Filles,
27,Yaelle,,JE,CC,Lisse,Brun Canyon,Croco,Beige,475,1,2017,Entre Filles,
28,Yaelle,,JE,CC,Lisse,Frost,Croco,Hellbeige,475,1,2017,Entre Filles,
29,Yaelle,,JE,CC,Lisse,Brun Lion,Croco,Beige,475,1,2017,Entre Filles,
30,Yaelle,,JE,CC,Lisse,Bleu Cosmo,Croco,Bleu Cosmo,475,1,2017,Entre Filles,
31,Laura,,CA,CC,Velours,Gris Shark,Lisse,Gris Shark,390,1,2017,Entre Filles,
32,Laura,,CA,CC,Velours,Bleu Cosmo,Lisse,Bleu Cosmo,390,1,2017,Entre Filles,
33,Laura,,CA,CC,Velours,Bleu Mysterious,Lisse,Bleu Cosmo,390,1,2017,Entre Filles,
34,Laura,,CA,CC,Velours,Octane,Lisse,Octane,390,1,2017,Entre Filles,
35,Laura,,CA,CC,Velours,Brun Ciuio,Lisse,Brun Lion,390,0,2017,Entre Filles,
36,Laura,,CA,CC,Velours,Brun Ciuio,Lisse,Brun Lion,390,0,2017,Entre Filles,
37,Laura,,CA,CC,Velours,Brun Chataigne,Lisse,Brun Date,390,1,2017,Entre Filles,
38,Ubelle,XS,CA,CC,Velours,Rose Blushpink,Lisse,Rose Nuage,450,1,2017,Ubelle,
39,Ubelle,XS,CD,CC,Velours,Brun Canyon,Croco,Beige,450,1,2017,Ubelle,
40,Ubelle,S,CD,CC,Velours,Gris Shark,Croco,Gris,450,0,2017,Ubelle,
41,Ubelle,XS,CD,CC,Velours,Gris Clair,Lisse,Gris Souris,450,0,2017,Ubelle,
42,Leslie,,CA,CC,Lisse,Gris Shark,Croco,Gris,360,1,2017,Entre Filles,
43,Leslie,,CA,CC,Lisse,Bleu Cosmo,Croco,Bleu ,360,1,2017,Entre Filles,
44,Leslie,,CA,CC,Lisse,Octane,Croco,Gris,360,1,2017,Entre Filles,
45,Leslie,,CA,CC,Lisse,Gris,Grainé,Gris,360,1,2017,Entre Filles,
46,Leslie,,CA,CC,Lisse,Brun Chataigne,Croco,Marron,360,1,2017,Entre Filles,
47,Leslie,,CA,CC,Lisse,Frost,Croco,Frost,360,1,2017,Entre Filles,
48,Ubelle,XS,CD,CC,Velours,Frost,Croco,Frost,440,1,2017,Ubelle,
49,Ubelle,XS,CD,CC,Velours,Rose Brushpink,Croco,Rose,440,0,2017,Ubelle,
50,Ubelle,XS,CD,CC,Velours,Gris Clair,Lisse,Gris Souris,440,0,2017,Ubelle,
51,Natacha,,CA,CC,Lisse,Brun Chataigne ,Croco,Marron,400,1,2017,Entre Filles,
52,Natacha,,CA,CC,Lisse,Noir,Croco,Noir,400,1,2017,Entre Filles,
53,Natacha,,CA,CC,Lisse,Noir,Croco,Noir,400,1,2017,Entre Filles,
54,Natacha,,CA,CC,Lisse,Octane,Croco,Gris ,400,1,2017,Entre Filles ,
55,Natacha,,CA,CC,Lisse,Noir,Croco,Gris,400,1,2017,Entre Filles,
56,Natacha,,CA,CC,Lisse,Frost,Croco,Beige,400,1,2017,Entre Filles,
57,Natacha,,CA,CC,Grainé,Gris,Croco,Gris Clair,400,1,2017,Entre Filles,
58,Natacha,,CA,CC,Lisse,Bleu Cosmo,Croco,Bleu Cosmo,400,1,2017,Entre Filles,
59,Natacha,,CA,CC,Lisse,Rose Blushpink,Croco,Rose,400,0,2017,Entre Filles,
60,Hanaé,,CA,CC,Velours,Taupe,Lisse,Taupe,420,1,2017,Entre Filles,
61,Hanaé,,CA,CC,Velours,Brun,Lisse,Brun,420,1,2017,Entre Filles,
62,Hanaé,,CA,CC,Velours,Noir,Lisse,Noir,420,1,2017,Entre Filles,
63,Chloé,,CA,CC,Velours,Noir,Grainé,Noir,370,1,2017,Entre Filles,
64,Chloé,,CA,CC,Velours,Brun Ciuio,Lisse,Brun Lion,350,1,2017,Entre Filles,
65,Chloé,,CA,CC,Velours,Gris Shark,Lisse,Gris Shark,350,1,2017,Entre Filles,
66,Chloé,,CA,CC,Velours,Bleu Mysterious,Lisse,Bleu Cosmo,350,0,2017,Entre Filles,
67,Laura,,CA,CC,Lisse,Gris Shark,Croco,Gris,400,1,2017,Entre Filles,
68,Yaelle,,CA,CC,Lisse,Octane,Croco,Bleu,475,1,2017,Entre Filles,
69,Yaelle,,CA,CC,Lisse,Octane,Croco,Gris,475,0,2017,Entre Filles,
70,Yaelle,,CA,CC,Lisse,Gris Shark ,Croco,Gris,475,1,2017,Entre Filles,
71,Yaelle,,CA,CC,Lisse,Gris Shark,Croco,Gris,475,1,2017,Entre Filles,
72,Yaelle,,CA,CC,Lisse,Noir,Croco,Gris,475,1,2017,Entre Filles,
73,Yaelle,,CA,CC,Lisse,Brun Chataigne,Croco,Marron,475,0,2017,Entre Filles,
74,Yaelle,,CA,CC,Lisse,Bleu Cosmo,Croco,Bleu Cosmo,475,1,2017,Entre Filles,
75,Yaelle,,CA,CC,Lisse,Bleu Cosmo,Croco,Bleu Cosmo,475,1,2017,Entre Filles,
76,Yaelle,,CA,CC,Lisse,Redskin,Grainé,Caramel,475,1,2017,Entre Filles,
77,Laura,,CA,CC,Lisse,Octane,Croco,Bleu,420,1,2017,Entre Filles,
78,Laura,,CA,CC,Lisse,Bleu Cosmo,Croco,Bleu Cosmo,420,1,2017,Entre Filles,
79,Laura,,CA,CC,Lisse,Noir,Croco,Noir,420,1,2017,Entre Filles,
80,Laura,,CA,CC,Lisse,Bordeaux,Grainé,Auburn,420,1,2017,Entre Filles,
81,Laura,,CA,CC,Lisse,Redskin,Grainé,Marron,420,1,2017,Entre Filles,
82,Laura,,CA,CC,Lisse,Brun Chataigne,Croco,Marron,420,0,2017,Entre Filles,
83,Laura,,CA,CC,Lisse,Noir,Croco,Gris,420,1,2017,Entre Filles,
84,Hanaé,,CA,CC,Velours,Bleu Mysterious,Lisse,Bleu Cosmo,420,1,2017,Entre Filles,
